W/L,Win_Margin,Away,Home,Year,Point_Differential,RW,GF/GP,GA/GP,Total_goal_differential,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,Shot_Differential,FOW%,Win% 1 Goal Game,Win% 2 Goal Game,Win% 3 Goal Game,Wins 1 Goal Game,Wins 2 Goal Game,Wins 3 Goal Game,Loss 1 Goal Game,Loss 2 Goal Game,Loss 3 Goal Game,SF GP,W% SF,W% TF,PIM,Pen Drawn/60,Pen Taken/60,Net Pen/60,Bench,Minor,Major,Match,Msct,G Msct,GF in P1,GA in P1,GF in P2,GA in P2,Wins Lead 1P,Loss Lead 1P,Ties Lead 1P,OT Loss Lead 1P,Win% Lead 1P,Wins Lead 2P,Loss Lead 2P,Ties Lead 2P,OT Loss Lead 2P,Win% Lead 2P,Wins Trail 1P,Loss Trail 1P,Ties Trail 1P,OT Loss Trail 1P,Win% Trail 1P,Wins Trail 2P,Loss Trail 2P,Ties Trail 2P,OT Loss Trail 2P,Win% Trail 2P
1,4,EDM,COL,2022,15,8,0.28,-0.23,0.51,-2,0.3,-1.2,-1.5,1,-0.3,1.3,-4,0.013,0.208,0.078,1,8,-2,-1,-2,-5,19,-0.052,0.025,76,1.04,0.22,0.81,-1,5,14,0,0,0,1,-20,9,5,2,1,0,1,-0.057,4,-1,0,2,-0.014,-2,-10,0,-2,0.095,-1,-10,0,2,0.047
1,4,NSH,COL,2022,22,11,0.56,-0.22,0.78,-0.4,0.5,-0.3,2.3,5.3,-0.3,5.6,-3.9,0.06,0.175,0.184,-3,9,5,-5,0,-6,9,0.083,0.1,-293,-0.13,-0.98,0.84,-1,-41,-39,0,-1,0,8,-8,8,-10,6,-2,0,1,0.052,8,0,0,2,-0.032,2,-8,0,-1,0.186,3,-7,0,2,0.148
0,-4,CAR,NYI,2019,4,-2,-0.24,-0.37,0.13,-3.3,-1.7,-0.5,-2.2,-5.6,2.3,-7.9,-1.6,0.058,-0.024,0.025,4,-1,-1,0,0,-2,2,-0.078,0.126,26,-0.3,-0.21,-0.1,0,-28,8,0,4,0,1,-11,-15,-9,-3,3,0,2,-0.152,0,-1,0,2,-0.022,1,-5,0,-1,0.118,2,-1,0,-3,0.093
0,-4,CBJ,TBL,2019,30,12,0.77,-0.12,0.89,12.8,0,14.4,0.5,0.4,2.6,-2.2,0.9,0.144,0.258,0.179,7,3,5,-3,-4,-8,4,0.062,0.289,267,0.86,1.18,-0.32,1,88,3,1,4,2,18,3,17,-12,2,-3,0,2,0.033,7,0,0,2,-0.034,7,-12,0,0,0.333,7,-11,0,-1,0.352
0,-3,COL,CGY,2019,17,12,0.37,-0.26,0.63,-2.7,1,-3.6,5,-0.2,-3.8,3.6,4.3,0.226,-0.145,0.248,7,4,1,0,7,-12,1,0.178,0.103,-77,-0.07,-0.33,0.26,-6,-16,-7,2,1,-3,24,16,-10,-3,3,-1,0,-2,0.125,3,0,0,-3,0.094,2,5,0,-6,0.056,4,2,0,-2,0.104
0,-2,STL,SJS,2019,2,2,0.54,0.47,0.07,2.6,-0.7,1.8,1,1.2,-0.3,1.5,-1.1,0.078,-0.154,0.016,2,-1,0,-3,3,-1,-4,-0.045,0.13,126,0.32,0.25,0.06,-1,8,2,0,6,5,19,27,7,8,1,-1,0,-1,0.055,-1,1,0,0,-0.025,3,4,0,-2,0.092,3,-4,0,-3,0.12
0,-2,DAL,NSH,2019,7,2,0.33,0.15,0.18,-8.1,-0.7,-10.3,0.8,2,-1.6,3.6,-0.4,0.043,-0.021,0.097,2,-2,4,0,-1,-2,-3,0.131,0.004,55,0.58,0.18,0.4,7,2,5,0,2,-1,14,9,0,13,5,-1,0,0,0.07,5,1,0,-2,0.037,2,1,0,-2,0.059,2,0,0,2,0.046
0,-2,STL,WPG,2019,0,2,0.31,0.28,0.03,3.7,-2.3,3.9,-0.4,-0.6,4.8,-5.4,-0.7,0.128,-0.027,-0.05,3,3,-4,-1,3,0,-6,-0.06,0.185,136,0.29,0.37,-0.08,-7,25,4,1,5,2,2,13,-3,7,-3,0,0,0,-0.025,-9,3,0,2,-0.154,7,2,0,-5,0.277,4,1,0,-6,0.135
0,-1,STL,BOS,2019,8,2,0.15,-0.09,0.24,4.8,-1.6,1.8,-0.8,0.9,0.9,3.55E-15,-0.7,0.098,-0.166,0.081,5,-2,1,-2,2,-4,-2,-0.011,0.152,174,0.48,0.5,-0.02,-7,30,12,0,4,3,-17,-2,14,-5,0,0,0,-2,0.048,-4,1,0,1,-0.059,3,3,0,-2,0.103,1,-5,0,-4,0.065
0,-1,CAR,WSH,2019,5,0,0.38,0.32,0.06,3,-2.7,4,-4.1,-4,2.9,-6.9,-3.3,0.058,0.1,-0.055,4,2,-4,-1,-2,0,-1,-0.005,0.067,112,-0.14,0.29,-0.45,3,10,8,1,2,2,17,-1,20,13,2,6,0,0,-0.132,3,0,0,-1,0.03,1,-7,0,4,0.068,1,-3,0,3,0.033
